"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.40","43.67","TORONTO CITY","6158355","2025-02-24","2025","02","24","","8.5","","-0.1","","4.2","","13.8","","0.0","","","","","","0.0","","33","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2025-02-25","2025","02","25","","8.1","","2.9","","5.5","","12.5","","0.0","","","","","","0.6","","29","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2025-02-26","2025","02","26","","5.9","","0.6","","3.2","","14.8","","0.0","","","","","","0.0","","25","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2025-02-27","2025","02","27","","5.6","","0.1","","2.8","","15.2","","0.0","","","","","","4.6","","24","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2025-02-28","2025","02","28","","5.5","","-3.3","","1.1","","16.9","","0.0","","","","","","0.5","","22","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2025-03-01","2025","03","01","","5.1","","-11.3","","-3.1","","21.1","","0.0","","","","","","0.0","","21","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2025-03-02","2025","03","02","","-4.1","","-15.1","","-9.6","","27.6","","0.0","","","","","","0.0","","21","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2025-03-03","2025","03","03","","3.3","","-6.2","","-1.4","","19.4","","0.0","","","","","","0.0","","21","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2025-03-04","2025","03","04","","7.3","","0.7","","4.0","","14.0","","0.0","","","","","","0.9","","20","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2025-03-05","2025","03","05","","7.3","","3.5","","5.4","","12.6","","0.0","","","","","","14.4","","16","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2025-03-06","2025","03","06","","3.7","","-2.7","","0.5","","17.5","","0.0","","","","","","0.1","","12","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2025-03-07","2025","03","07","","3.1","","-1.5","","0.8","","17.2","","0.0","","","","","","0.0","","12","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2025-03-08","2025","03","08","","2.3","","-4.9","","-1.3","","19.3","","0.0","","","","","","0.0","","11","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2025-03-09","2025","03","09","","8.0","","-1.6","","3.2","","14.8","","0.0","","","","","","0.0","","10","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2025-03-10","2025","03","10","","11.7","","2.7","","7.2","","10.8","","0.0","","","","","","0.0","","8","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2025-03-11","2025","03","11","","13.6","","-1.0","","6.3","","11.7","","0.0","","","","","","0.0","","5","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2025-03-12","2025","03","12","","1.2","","-2.1","","-0.5","","18.5","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2025-03-13","2025","03","13","","6.5","","-1.8","","2.3","","15.7","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2025-03-14","2025","03","14","","10.9","","1.4","","6.2","","11.8","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2025-03-15","2025","03","15","","15.1","","7.9","","11.5","","6.5","","0.0","","","","","","2.3","","","","","M","","M"
